time,open,high,low,close,volume
2023-01-03 07:00:00,76.41,80.24,75.94,80.24,110300
2023-01-04 07:00:00,80.24,80.24,78.71,80.24,137700
2023-01-05 07:00:00,80.14,80.14,78.99,80.04,76800
2023-01-06 07:00:00,78.9,79.76,78.32,79.18,186500
2023-01-09 07:00:00,78.8,78.8,77.75,78.61,114900
2023-01-10 07:00:00,78.32,78.32,77.37,78.32,135200
2023-01-11 07:00:00,78.32,78.32,77.18,78.32,77400
2023-01-12 07:00:00,77.56,78.13,76.89,78.13,154300
2023-01-13 07:00:00,78.23,78.23,77.08,78.23,97900
2023-01-16 07:00:00,77.85,78.23,77.18,78.23,65300
2023-01-17 07:00:00,78.23,81.19,77.85,79.76,121600
2023-01-18 07:00:00,80.04,81.19,79.85,80.71,91400
2023-01-19 07:00:00,81.09,81.09,79.85,80.52,91200
2023-01-27 07:00:00,81.38,81.38,79.28,81.38,79400
2023-01-30 07:00:00,80.24,81.0,80.14,81.0,69200
2023-01-31 07:00:00,80.81,81.0,79.95,81.0,72600
2023-02-01 07:00:00,81.0,81.48,80.04,80.24,95400
2023-02-02 07:00:00,80.24,80.24,79.28,80.24,88300
2023-02-03 07:00:00,81.0,81.0,80.24,80.24,80400
2023-02-06 07:00:00,80.71,80.71,80.14,80.24,69400
2023-02-07 07:00:00,80.24,80.9,80.24,80.24,128300
2023-02-08 07:00:00,79.76,81.95,79.66,80.71,80500
2023-02-09 07:00:00,80.9,80.9,79.57,80.9,57000
2023-02-10 07:00:00,80.9,80.9,79.76,80.71,86100
2023-02-13 07:00:00,81.09,81.09,77.08,80.04,76500
2023-02-14 07:00:00,78.9,80.81,78.9,80.71,80100
2023-02-15 07:00:00,79.57,81.09,79.57,81.09,50300
2023-02-16 07:00:00,81.19,81.19,79.95,81.19,81600
2023-02-17 07:00:00,81.19,81.28,80.24,81.09,75900
2023-02-20 07:00:00,81.19,82.14,80.71,82.14,82300
2023-02-21 07:00:00,82.14,82.14,81.0,81.67,91900
2023-02-22 07:00:00,80.71,81.19,79.47,80.71,92300
2023-02-23 07:00:00,81.09,81.09,78.99,80.81,123900
2023-02-24 07:00:00,79.57,80.71,78.9,80.33,97700
2023-02-27 07:00:00,77.37,79.76,77.37,79.66,90500
2023-02-28 07:00:00,80.24,80.24,78.9,79.95,39800
2023-03-01 07:00:00,78.23,80.52,78.23,80.52,44600
2023-03-02 07:00:00,80.24,80.43,79.66,80.24,32800
2023-03-03 07:00:00,80.24,80.71,77.85,79.76,94200
2023-03-06 07:00:00,80.14,80.24,79.18,79.95,60600
2023-03-07 07:00:00,80.71,80.71,79.47,80.24,46000
2023-03-08 07:00:00,79.28,80.71,78.9,80.71,120100
2023-03-09 07:00:00,80.71,80.71,79.38,80.24,120800
2023-03-10 07:00:00,79.28,80.24,78.61,80.04,148000
2023-03-13 07:00:00,79.76,80.04,78.71,79.95,115800
2023-03-14 07:00:00,78.9,79.57,78.52,79.38,131900
2023-03-15 07:00:00,79.38,79.57,79.28,79.47,84300
2023-03-16 07:00:00,79.38,79.76,77.94,78.52,105000
2023-03-17 07:00:00,78.8,78.8,77.56,78.71,46900
2023-03-20 07:00:00,79.09,79.09,76.89,77.94,93900
2023-03-21 07:00:00,77.94,78.32,76.89,78.32,93000
2023-03-22 07:00:00,78.32,78.32,76.89,77.85,158600
2023-03-23 07:00:00,77.85,78.23,76.89,78.23,80000
2023-03-24 07:00:00,78.8,78.8,77.66,78.32,92100
2023-03-27 07:00:00,78.32,78.52,77.37,78.52,97800
2023-03-28 07:00:00,78.8,78.8,77.66,78.61,88800
2023-03-29 07:00:00,78.61,78.61,76.89,78.52,138700
2023-03-30 07:00:00,78.42,78.61,77.66,78.61,78200
2023-03-31 07:00:00,77.94,79.18,77.94,79.18,129600
2023-04-03 07:00:00,79.28,79.76,78.13,79.76,124100
2023-04-04 07:00:00,79.76,79.76,78.04,78.32,150000
2023-04-05 07:00:00,79.47,79.47,77.56,77.56,68500
2023-04-06 07:00:00,77.56,77.85,76.89,76.89,78800
2023-04-07 07:00:00,77.27,77.27,76.41,76.6,55300
2023-04-10 07:00:00,76.13,76.51,75.55,76.41,101400
2023-04-11 07:00:00,76.41,76.6,75.74,76.6,35200
2023-04-12 07:00:00,76.6,76.8,75.65,76.41,96600
2023-04-13 07:00:00,76.51,76.51,75.84,76.22,18700
2023-04-14 07:00:00,76.32,76.6,75.74,75.74,16000
2023-04-17 07:00:00,76.32,76.32,75.08,75.84,54900
2023-04-18 07:00:00,75.84,75.94,75.08,75.94,47300
2023-04-19 07:00:00,75.94,75.94,75.08,75.65,39000
2023-04-20 07:00:00,75.94,75.94,75.27,75.84,25100
